n00004475	organism, being
n04383015	tachymeter, tacheometer
n04383130	tack
n04383301	tack hammer
n04383839	taffeta
n04383923	taffrail
n04384593	tailgate, tailboard
n04384910	taillight, tail lamp, rear light, rear lamp
n04385079	tailor-made
n04385157	tailor's chalk
n04385536	tailpipe
n04385799	tail rotor, anti-torque rotor
n04386051	tailstock
n04386456	take-up
n04386664	talaria
n04386792	talcum, talcum powder
n04387095	tam, tam-o'-shanter, tammy
n04387201	tambour
n04387261	tambour, embroidery frame, embroidery hoop
n04387400	tambourine
n04387531	tammy
n04387706	tamp, tamper, tamping bar
n04387932	Tampax
n04388040	tampion, tompion
n04388162	tampon
n04388473	tandoor
n04388574	tangram
n04388743	tank, storage tank
n04389033	tank, army tank, armored combat vehicle, armoured combat vehicle
n04389430	tankard
n04389521	tank car, tank
n04389718	tank destroyer
n04389854	tank engine, tank locomotive
n04389999	tanker plane
n04390483	tank shell
n04390577	tank top
n04390873	tannoy
n04390977	tap, spigot
n04391445	tapa, tappa
n04391838	tape, tape recording, taping
n04392113	tape, tapeline, tape measure
n04392526	tape deck
n04392764	tape drive, tape transport, transport
n04392985	tape player
n04393095	tape recorder, tape machine
n04393301	taper file
n04393549	tapestry, tapis
n04393808	tappet
n04393913	tap wrench
n04394031	tare
n04394261	target, butt
n04394421	target acquisition system
n04394630	tarmacadam, tarmac, macadam
n04395024	tarpaulin, tarp
n04395106	tartan, plaid
n04395332	tasset, tasse
n04395651	tattoo
n04395875	tavern, tap house
n04396226	tawse
n04396335	taximeter
n04396650	T-bar lift, T-bar, Alpine lift
n04396808	tea bag
n04396902	tea ball
n04397027	tea cart, teacart, tea trolley, tea wagon
n04397168	tea chest
n04397261	teaching aid
n04397452	teacup
n04397645	tea gown
n04397768	teakettle
n04397860	tea maker
n04398044	teapot
n04398497	teashop, teahouse, tearoom, tea parlor, tea parlour
n04398688	teaspoon
n04398834	tea-strainer
n04398951	tea table
n04399046	tea tray
n04399158	tea urn
n04399382	teddy, teddy bear
n04399537	tee, golf tee
n04399846	tee hinge, T hinge
n04400109	telecom hotel, telco building
n04400289	telecommunication system, telecom system, telecommunication equipment, telecom equipment
n04400499	telegraph, telegraphy
n04400737	telegraph key
n04400899	telemeter
n04401088	telephone, phone, telephone set
n04401578	telephone bell
n04401680	telephone booth, phone booth, call box, telephone box, telephone kiosk
n04401828	telephone cord, phone cord
n04401949	telephone jack, phone jack
n04402057	telephone line, phone line, telephone circuit, subscriber line, line
n04402342	telephone plug, phone plug
n04402449	telephone pole, telegraph pole, telegraph post
n04402580	telephone receiver, receiver
n04402746	telephone system, phone system
n04402984	telephone wire, telephone line, telegraph wire, telegraph line
n04403413	telephoto lens, zoom lens
n04403524	Teleprompter
n04403638	telescope, scope
n04403925	telescopic sight, telescope sight
n04404072	telethermometer
n04404200	teletypewriter, teleprinter, teletype machine, telex, telex machine
n04404412	television, television system
n04404817	television antenna, tv-antenna
n04404997	television camera, tv camera, camera
n04405540	television equipment, video equipment
n04405762	television monitor, tv monitor
n04405907	television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box
n04406239	television room, tv room
n04406552	television transmitter
n04406687	telpher, telfer
n04406817	telpherage, telferage
n04407257	tempera, poster paint, poster color, poster colour
n04407435	temple
n04407686	temple
n04408871	temporary hookup, patch
n04409011	tender, supply ship
n04409128	tender, ship's boat, pinnace, cutter
n04409279	tender
n04409384	tenement, tenement house
n04409515	tennis ball
n04409625	tennis camp
n04409806	tennis racket, tennis racquet
n04409911	tenon
n04410086	tenor drum, tom-tom
n04410365	tenoroon
n04410485	tenpenny nail
n04410565	tenpin
n04410663	tensimeter
n04410760	tensiometer
n04410886	tensiometer
n04411019	tensiometer
n04411264	tent, collapsible shelter
n04411835	tenter
n04411966	tenterhook
n04412097	tent-fly, rainfly, fly sheet, fly, tent flap
n04412300	tent peg
n04412416	tepee, tipi, teepee
n04413151	terminal, pole
n04413419	terminal
n04413969	terraced house
n04414101	terra cotta
n04414199	terrarium
n04414319	terra sigillata, Samian ware
n04414476	terry, terry cloth, terrycloth
n04414675	Tesla coil
n04414909	tessera
n04415257	test equipment
n04415663	test rocket, research rocket, test instrument vehicle
n04415815	test room, testing room
n04416005	testudo
n04416901	tetraskelion, tetraskele
n04417086	tetrode
n04417180	textile machine
n04417361	textile mill
n04417672	thatch, thatched roof
n04417809	theater, theatre, house
n04418357	theater curtain, theatre curtain
n04418644	theater light
n04419073	theodolite, transit
n04419642	theremin
n04419868	thermal printer
n04420024	thermal reactor
n04420720	thermocouple, thermocouple junction
n04421083	thermoelectric thermometer, thermel, electric thermometer
n04421258	thermograph, thermometrograph
n04421417	thermograph
n04421582	thermohydrometer, thermogravimeter
n04421740	thermojunction
n04421872	thermometer
n04422409	thermonuclear reactor, fusion reactor
n04422566	thermopile
n04422727	thermos, thermos bottle, thermos flask
n04422875	thermostat, thermoregulator
n04423552	thigh pad
n04423687	thill
n04423845	thimble
n04424692	thinning shears
n04425804	third base, third
n04425977	third gear, third
n04426184	third rail
n04426316	thong
n04426427	thong
n04427216	three-centered arch, basket-handle arch
n04427473	three-decker
n04427559	three-dimensional radar, 3d radar
n04427715	three-piece suit
n04427857	three-quarter binding
n04428008	three-way switch, three-point switch
n04428191	thresher, thrasher, threshing machine
n04428382	threshing floor
n04428634	thriftshop, second-hand store
n04429038	throat protector
n04429376	throne
n04430475	thrust bearing
n04430605	thruster
n04430896	thumb
n04431025	thumbhole
n04431436	thumbscrew
n04431648	thumbstall
n04431745	thumbtack, drawing pin, pushpin
n04431925	thunderer
n04432043	thwart, cross thwart
n04432203	tiara
n04432662	ticking
n04432785	tickler coil
n04433377	tie, tie beam
n04433585	tie, railroad tie, crosstie, sleeper
n04434207	tie rack
n04434531	tie rod
n04434932	tights, leotards
n04435180	tile
n04435552	tile cutter
n04435653	tile roof
n04435759	tiller
n04435870	tilter
n04436012	tilt-top table, tip-top table, tip table
n04436185	timber
n04436329	timber
n04436401	timber hitch
n04436542	timbrel
n04436832	time bomb, infernal machine
n04436992	time capsule
n04437276	time clock
n04437380	time-delay measuring instrument, time-delay measuring system
n04437670	time-fuse
n04437953	timepiece, timekeeper, horologe
n04438304	timer
n04438507	timer
n04438643	time-switch
n04438897	tin
n04439505	tinderbox
n04439585	tine
n04439712	tinfoil, tin foil
n04440597	tippet
n04440963	tire chain, snow chain
n04441093	tire iron, tire tool
n04441528	titfer
n04441662	tithe barn
n04441790	titrator
n04442312	toaster
n04442441	toaster oven
n04442582	toasting fork
n04442741	toastrack
n04443164	tobacco pouch
n04443257	tobacco shop, tobacconist shop, tobacconist
n04443433	toboggan
n04443766	toby, toby jug, toby fillpot jug
n04444121	tocsin, warning bell
n04444218	toe
n04444749	toecap
n04444953	toehold
n04445040	toga
n04445154	toga virilis
n04445327	toggle
n04445610	toggle bolt
n04445782	toggle joint
n04445952	toggle switch, toggle, on-off switch, on/off switch
n04446162	togs, threads, duds
n04446276	toilet, lavatory, lav, can, john, privy, bathroom
n04446844	toilet bag, sponge bag
n04447028	toilet bowl
n04447156	toilet kit, travel kit
n04447276	toilet powder, bath powder, dusting powder
n04447443	toiletry, toilet articles
n04447861	toilet seat
n04448070	toilet water, eau de toilette
n04448185	tokamak
n04448361	token
n04449290	tollbooth, tolbooth, tollhouse
n04449449	toll bridge
n04449550	tollgate, tollbar
n04449700	toll line
n04449966	tomahawk, hatchet
n04450133	Tommy gun, Thompson submachine gun
n04450243	tomograph
n04450465	tone arm, pickup, pickup arm
n04450640	toner
n04450749	tongs, pair of tongs
n04450994	tongue
n04451139	tongue and groove joint
n04451318	tongue depressor
n04451636	tonometer
n04451818	tool
n04452528	tool bag
n04452615	toolbox, tool chest, tool cabinet, tool case
n04452757	toolshed, toolhouse
n04452848	tooth
n04453037	tooth
n04453156	toothbrush
n04453390	toothpick
n04453666	top
n04453910	top, cover
n04454654	topgallant, topgallant mast
n04454792	topgallant, topgallant sail
n04454908	topiary
n04455048	topknot
n04455250	topmast
n04455579	topper
n04455652	topsail
n04456011	toque
n04456115	torch
n04456472	torpedo
n04456734	torpedo
n04457157	torpedo
n04457326	torpedo boat
n04457474	torpedo-boat destroyer
n04457638	torpedo tube
n04457767	torque converter
n04457910	torque wrench
n04458201	torture chamber
n04458633	totem pole
n04458843	touch screen, touchscreen
n04459018	toupee, toupe
n04459122	touring car, phaeton, tourer
n04459243	tourist class, third class
n04459362	towel
n04459610	toweling, towelling
n04459773	towel rack, towel horse
n04459909	towel rail, towel bar
n04460130	tower
n04461437	town hall
n04461570	towpath, towing path
n04461696	tow truck, tow car, wrecker
n04461879	toy
n04462011	toy box, toy chest
n04462240	toyshop
n04462576	trace detector
n04463679	track, rail, rails, runway
n04464125	track
n04464615	trackball
n04464852	tracked vehicle
n04465050	tract house
n04465203	tract housing
n04465358	traction engine
n04465501	tractor
n04465666	tractor
n04466871	trail bike, dirt bike, scrambler
n04467099	trailer, house trailer
n04467307	trailer
n04467506	trailer camp, trailer park
n04467665	trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi
n04467899	trailing edge
n04468005	train, railroad train
n04469003	tramline, tramway, streetcar track
n04469251	trammel
n04469514	trampoline
n04469684	tramp steamer, tramp
n04469813	tramway, tram, aerial tramway, cable tramway, ropeway
n04470741	transdermal patch, skin patch
n04471148	transept
n04471315	transformer
n04471632	transistor, junction transistor, electronic transistor
n04471912	transit instrument
n04472243	transmission, transmission system
n04472563	transmission shaft
n04472726	transmitter, sender
n04472961	transom, traverse
n04473108	transom, transom window, fanlight
n04473275	transponder
n04473884	transporter
n04474035	transporter, car transporter
n04474187	transport ship
n04474466	trap
n04475309	trap door
n04475411	trapeze
n04475496	trave, traverse, crossbeam, crosspiece
n04475631	travel iron
n04475749	trawl, dragnet, trawl net
n04475900	trawl, trawl line, spiller, setline, trotline
n04476116	trawler, dragger
n04476259	tray
n04476526	tray cloth
n04476831	tread
n04476972	tread
n04477219	treadmill, treadwheel, tread-wheel
n04477387	treadmill
n04477548	treasure chest
n04477725	treasure ship
n04478066	treenail, trenail, trunnel
n04478383	trefoil arch
n04478512	trellis, treillage
n04478657	trench
n04479046	trench coat
n04479287	trench knife
n04479405	trepan
n04479526	trepan, trephine
n04479694	trestle
n04479823	trestle
n04479939	trestle bridge
n04480033	trestle table
n04480141	trestlework
n04480303	trews
n04480527	trial balloon
n04480853	triangle
n04480995	triangle
n04481524	triclinium
n04481642	triclinium
n04482177	tricorn, tricorne
n04482297	tricot
n04482393	tricycle, trike, velocipede
n04482975	trident
n04483073	trigger
n04483307	trimaran
n04483925	trimmer
n04484024	trimmer arch
n04484432	triode
n04485082	tripod
n04485423	triptych
n04485586	trip wire
n04485750	trireme
n04485884	triskelion, triskele
n04486054	triumphal arch
n04486213	trivet
n04486322	trivet
n04486616	troika
n04486934	troll
n04487081	trolleybus, trolley coach, trackless trolley
n04487394	trombone
n04487724	troop carrier, troop transport
n04487894	troopship
n04488202	trophy case
n04488427	trough
n04488530	trouser
n04488742	trouser cuff
n04488857	trouser press, pants presser
n04489008	trouser, pant
n04489695	trousseau
n04489817	trowel
n04490091	truck, motortruck
n04491312	trumpet arch
n04491388	truncheon, nightstick, baton, billy, billystick, billy club
n04491638	trundle bed, trundle, truckle bed, truckle
n04491769	trunk
n04491934	trunk hose
n04492060	trunk lid
n04492157	trunk line
n04492375	truss
n04492749	truss bridge
n04493109	try square
n04493259	T-square
n04493381	tub, vat
n04494204	tube, vacuum tube, thermionic vacuum tube, thermionic tube, electron tube, thermionic valve
n04495051	tuck box
n04495183	tucker
n04495310	tucker-bag
n04495450	tuck shop
n04495555	Tudor arch, four-centered arch
n04495698	tudung
n04495843	tugboat, tug, towboat, tower
n04496614	tulle
n04496726	tumble-dryer, tumble drier
n04496872	tumbler
n04497249	tumbrel, tumbril
n04497442	tun
n04497570	tunic
n04497801	tuning fork
n04498275	tupik, tupek, sealskin tent
n04498389	turban
n04498523	turbine
n04498873	turbogenerator
n04499062	tureen
n04499300	Turkish bath
n04499446	Turkish towel, terry towel
n04499554	Turk's head
n04499810	turnbuckle
n04500060	turner, food turner
n04500390	turnery
n04501127	turnpike
n04501281	turnspit
n04501370	turnstile
n04501550	turntable
n04501837	turntable, lazy Susan
n04501947	turret
n04502059	turret clock
n04502197	turtleneck, turtle, polo-neck
n04502502	tweed
n04502670	tweeter
n04502851	twenty-two, .22
n04502989	twenty-two pistol
n04503073	twenty-two rifle
n04503155	twill
n04503269	twill, twill weave
n04503413	twin bed
n04503499	twinjet
n04503593	twist bit, twist drill
n04503705	two-by-four
n04504038	two-man tent
n04504141	two-piece, two-piece suit, lounge suit
n04504770	typesetting machine
n04505036	typewriter
n04505345	typewriter carriage
n04505470	typewriter keyboard
n04505888	tyrolean, tirolean
n04506289	uke, ukulele
n04506402	ulster
n04506506	ultracentrifuge
n04506688	ultramicroscope, dark-field microscope
n04506895	Ultrasuede
n04506994	ultraviolet lamp, ultraviolet source
n04507155	umbrella
n04507326	umbrella tent
n04507453	undercarriage
n04507689	undercoat, underseal
n04508163	undergarment, unmentionable
n04508489	underpants
n04508949	underwear, underclothes, underclothing
n04509171	undies
n04509260	uneven parallel bars, uneven bars
n04509417	unicycle, monocycle
n04509592	uniform
n04510706	universal joint, universal
n04511002	university
n04513827	upholstery
n04513998	upholstery material
n04514095	upholstery needle
n04514241	uplift
n04514648	upper berth, upper
n04515003	upright, upright piano
n04515444	upset, swage
n04515729	upstairs
n04515890	urceole
n04516116	urn
n04516214	urn
n04516354	used-car, secondhand car
n04516672	utensil
n04517211	Uzi
n04517408	vacation home
n04517823	vacuum, vacuum cleaner
n04517999	vacuum chamber
n04518132	vacuum flask, vacuum bottle
n04518343	vacuum gauge, vacuum gage
n04518643	Valenciennes, Valenciennes lace
n04518764	valise
n04519153	valve
n04519536	valve
n04519728	valve-in-head engine
n04519887	vambrace, lower cannon
n04520170	van
n04520382	van, caravan
n04520784	vane
n04520962	vaporizer, vaporiser
n04521571	variable-pitch propeller
n04521863	variometer
n04521987	varnish
n04522168	vase
n04523525	vault
n04523831	vault, bank vault
n04524142	vaulting horse, long horse, buck
n04524313	vehicle
n04524594	Velcro
n04524716	velocipede
n04524941	velour, velours
n04525038	velvet
n04525191	velveteen
n04525305	vending machine
n04525417	veneer, veneering
n04525584	Venetian blind
n04525821	Venn diagram, Venn's diagram
n04526520	ventilation, ventilation system, ventilating system
n04526800	ventilation shaft
n04526964	ventilator
n04527648	veranda, verandah, gallery
n04528079	verdigris
n04528968	vernier caliper, vernier micrometer
n04529108	vernier scale, vernier
n04529681	vertical file
n04529962	vertical stabilizer, vertical stabiliser, vertical fin, tail fin, tailfin
n04530283	vertical tail
n04530456	Very pistol, Verey pistol
n04530566	vessel, watercraft
n04531098	vessel
n04531873	vest, waistcoat
n04532022	vestiture
n04532106	vestment
n04532398	vest pocket
n04532504	vestry, sacristy
n04532670	viaduct
n04532831	vibraphone, vibraharp, vibes
n04533042	vibrator
n04533199	vibrator
n04533499	Victrola
n04533594	vicuna
n04533700	videocassette
n04533802	videocassette recorder, VCR
n04533946	videodisk, videodisc, DVD
n04534127	video recording, video
n04534359	videotape
n04534520	videotape
n04534895	vigil light, vigil candle
n04535252	villa
n04535370	villa
n04535524	villa
n04536153	viol
n04536335	viola
n04536465	viola da braccio
n04536595	viola da gamba, gamba, bass viol
n04536765	viola d'amore
n04536866	violin, fiddle
n04537436	virginal, pair of virginals
n04538249	viscometer, viscosimeter
n04538403	viscose rayon, viscose
n04538552	vise, bench vise
n04538878	visor, vizor
n04539053	visual display unit, VDU
n04539203	vivarium
n04539407	Viyella
n04539794	voile
n04540053	volleyball
n04540255	volleyball net
n04540397	voltage regulator
n04540761	voltaic cell, galvanic cell, primary cell
n04541136	voltaic pile, pile, galvanic pile
n04541320	voltmeter
n04541662	vomitory
n04541777	von Neumann machine
n04541987	voting booth
n04542095	voting machine
n04542329	voussoir
n04542474	vox angelica, voix celeste
n04542595	vox humana
n04542715	waders
n04542858	wading pool
n04542943	waffle iron
n04543158	wagon, waggon
n04543509	wagon, coaster wagon
n04543636	wagon tire
n04543772	wagon wheel
n04543924	wain
n04543996	wainscot, wainscoting, wainscotting
n04544325	wainscoting, wainscotting
n04544450	waist pack, belt bag
n04545305	walker, baby-walker, go-cart
n04545471	walker, Zimmer, Zimmer frame
n04545748	walker
n04545858	walkie-talkie, walky-talky
n04545984	walk-in
n04546081	walking shoe
n04546194	walking stick
n04546340	Walkman
n04546595	walk-up apartment, walk-up
n04546855	wall
n04547592	wall
n04548280	wall clock
n04548362	wallet, billfold, notecase, pocketbook
n04549028	wall tent
n04549122	wall unit
n04549629	wand
n04549721	Wankel engine, Wankel rotary engine, epitrochoidal engine
n04549919	ward, hospital ward
n04550184	wardrobe, closet, press
n04550676	wardroom
n04551055	warehouse, storage warehouse
n04551833	warming pan
n04552097	war paint
n04552348	warplane, military plane
n04552551	war room
n04552696	warship, war vessel, combat ship
n04553389	wash
n04553561	wash-and-wear
n04553703	washbasin, handbasin, washbowl, lavabo, wash-hand basin
n04554211	washboard, splashboard
n04554406	washboard
n04554684	washer, automatic washer, washing machine
n04554871	washer
n04554998	washhouse
n04555291	washroom
n04555400	washstand, wash-hand stand
n04555600	washtub
n04555700	wastepaper basket, waste-paper basket, wastebasket, waste basket, circular file
n04555897	watch, ticker
n04556408	watch cap
n04556533	watch case
n04556664	watch glass
n04556948	watchtower
n04557308	water-base paint
n04557522	water bed
n04557648	water bottle
n04557751	water butt
n04558059	water cart
n04558199	water chute
n04558478	water closet, closet, W.C., loo
n04558804	watercolor, water-color, watercolour, water-colour
n04559023	water-cooled reactor
n04559166	water cooler
n04559451	water faucet, water tap, tap, hydrant
n04559620	water filter
n04559730	water gauge, water gage, water glass
n04559910	water glass
n04559994	water hazard
n04560113	water heater, hot-water heater, hot-water tank
n04560292	watering can, watering pot
n04560502	watering cart
n04560619	water jacket
n04560804	water jug
n04560882	water jump
n04561010	water level
n04561287	water meter
n04561422	water mill
n04561734	waterproof
n04561857	waterproofing
n04561965	water pump
n04562122	water scooter, sea scooter, scooter
n04562262	water ski
n04562496	waterspout
n04562935	water tower
n04563020	water wagon, water waggon
n04563204	waterwheel, water wheel
n04563413	waterwheel, water wheel
n04563560	water wings
n04563790	waterworks
n04564278	wattmeter
n04564581	waxwork, wax figure
n04565039	ways, shipway, slipway
n04565375	weapon, arm, weapon system
n04566257	weaponry, arms, implements of war, weapons system, munition
n04566561	weapons carrier
n04566756	weathercock
n04567098	weatherglass
n04567593	weather satellite, meteorological satellite
n04567746	weather ship
n04568069	weathervane, weather vane, vane, wind vane
n04568557	web, entanglement
n04568713	web
n04568841	webbing
n04569063	webcam
n04569520	wedge
n04569822	wedge
n04570118	wedgie
n04570214	Wedgwood
n04570416	weeder, weed-whacker
n04570532	weeds, widow's weeds
n04570815	weekender
n04570958	weighbridge
n04571292	weight, free weight, exercising weight
n04571566	weir
n04571686	weir
n04571800	welcome wagon
n04571958	weld
n04572121	welder's mask
n04572235	weldment
n04572935	well
n04573045	wellhead
n04573281	welt
n04573379	Weston cell, cadmium cell
n04573513	wet bar
n04573625	wet-bulb thermometer
n04573832	wet cell
n04573937	wet fly
n04574067	wet suit
n04574348	whaleboat
n04574471	whaler, whaling ship
n04574606	whaling gun
n04574999	wheel
n04575723	wheel
n04575824	wheel and axle
n04576002	wheelchair
n04576211	wheeled vehicle
n04576971	wheelwork
n04577139	wherry
n04577293	wherry, Norfolk wherry
n04577426	whetstone
n04577567	whiffletree, whippletree, swingletree
n04577769	whip
n04578112	whipcord
n04578329	whipping post
n04578559	whipstitch, whipping, whipstitching
n04578708	whirler
n04578801	whisk, whisk broom
n04578934	whisk
n04579056	whiskey bottle
n04579145	whiskey jug
n04579230	whispering gallery, whispering dome
n04579432	whistle
n04579667	whistle
n04579986	white
n04580493	white goods
n04581102	whitewash
n04581595	whorehouse, brothel, bordello, bagnio, house of prostitution, house of ill repute, bawdyhouse, cathouse, sporting house
n04581829	wick, taper
n04582205	wicker, wickerwork, caning
n04582349	wicker basket
n04582771	wicket, hoop
n04582869	wicket
n04583022	wickiup, wikiup
n04583212	wide-angle lens, fisheye lens
n04583620	widebody aircraft, wide-body aircraft, wide-body, twin-aisle airplane
n04583888	wide wale
n04583967	widow's walk
n04584056	Wiffle, Wiffle Ball
n04584207	wig
n04584373	wigwam
n04585128	Wilton, Wilton carpet
n04585318	wimple
n04585456	wincey
n04585626	winceyette
n04585745	winch, windlass
n04585980	Winchester
n04586072	windbreak, shelterbelt
n04586581	winder, key
n04586932	wind instrument, wind
n04587327	windjammer
n04587404	windmill, aerogenerator, wind generator
n04587559	windmill
n04587648	window
n04588739	window
n04589190	window blind
n04589325	window box
n04589434	window envelope
n04589593	window frame
n04589890	window screen
n04590021	window seat
n04590129	window shade
n04590263	windowsill
n04590553	windshield, windscreen
n04590746	windshield wiper, windscreen wiper, wiper, wiper blade
n04590933	Windsor chair
n04591056	Windsor knot
n04591157	Windsor tie
n04591249	wind tee
n04591359	wind tunnel
n04591517	wind turbine
n04591631	wine bar
n04591713	wine bottle
n04591887	wine bucket, wine cooler
n04592005	wine cask, wine barrel
n04592099	wineglass
n04592356	winepress
n04592465	winery, wine maker
n04592596	wineskin
n04592741	wing
n04593077	wing chair
n04593185	wing nut, wing-nut, wing screw, butterfly nut, thumbnut
n04593376	wing tip
n04593524	wing tip
n04593629	winker, blinker, blinder
n04593866	wiper, wiper arm, contact arm
n04594114	wiper motor
n04594218	wire
n04594489	wire, conducting wire
n04594742	wire cloth
n04594828	wire cutter
n04594919	wire gauge, wire gage
n04595028	wireless local area network, WLAN, wireless fidelity, WiFi
n04595285	wire matrix printer, wire printer, stylus printer
n04595501	wire recorder
n04595611	wire stripper
n04595762	wirework, grillwork
n04595855	wiring
n04596116	wishing cap
n04596492	witness box, witness stand
n04596742	wok
n04596852	woman's clothing
n04597066	wood
n04597309	woodcarving
n04597400	wood chisel
n04597804	woodenware
n04597913	wooden spoon
n04598136	woodscrew
n04598318	woodshed
n04598416	wood vise, woodworking vise, shoulder vise
n04598582	woodwind, woodwind instrument, wood
n04598965	woof, weft, filling, pick
n04599124	woofer
n04599235	wool, woolen, woollen
n04600312	workbasket, workbox, workbag
n04600486	workbench, work bench, bench
n04600912	work-clothing, work-clothes
n04601041	workhouse
n04601159	workhouse
n04601938	workpiece
n04602762	workroom
n04602840	works, workings
n04602956	work-shirt
n04603399	workstation
n04603729	worktable, work table
n04603872	workwear
n04604276	World Wide Web, WWW, web
n04604644	worm fence, snake fence, snake-rail fence, Virginia fence
n04604806	worm gear
n04605057	worm wheel
n04605163	worsted
n04605321	worsted, worsted yarn
n04605446	wrap, wrapper
n04605572	wraparound
n04605726	wrapping, wrap, wrapper
n04606251	wreck
n04606574	wrench, spanner
n04607035	wrestling mat
n04607242	wringer
n04607640	wrist pad
n04607759	wrist pin, gudgeon pin
n04607869	wristwatch, wrist watch
n04607982	writing arm
n04608329	writing desk
n04608435	writing desk
n04608567	writing implement
n04608809	xerographic printer
n04608923	Xerox, xerographic copier, Xerox machine
n04609531	X-ray film
n04609651	X-ray machine
n04609811	X-ray tube
n04610013	yacht, racing yacht
n04610176	yacht chair
n04610274	yagi, Yagi aerial
n04610503	yard
n04610676	yard
n04611351	yardarm
n04611795	yard marker
n04611916	yardstick, yard measure
n04612026	yarmulke, yarmulka, yarmelke
n04612159	yashmak, yashmac
n04612257	yataghan
n04612373	yawl, dandy
n04612504	yawl
n04612840	yoke
n04613015	yoke
n04613158	yoke, coupling
n04613696	yurt
n04613939	Zamboni
n04614505	zero
n04614655	ziggurat, zikkurat, zikurat
n04614844	zill
n04615149	zip gun
n04615226	zither, cither, zithern
n04615644	zoot suit
n04682018	shading
n04950713	grain
n04950952	wood grain, woodgrain, woodiness
n04951071	graining, woodgraining
n04951186	marbleization, marbleisation, marbleizing, marbleising
n04951373	light, lightness
n04951716	aura, aureole, halo, nimbus, glory, gloriole
n04951875	sunniness
n04953296	glint
n04953678	opalescence, iridescence
n04955160	polish, gloss, glossiness, burnish
n04957356	primary color for pigments, primary colour for pigments
n04957589	primary color for light, primary colour for light
n04958634	colorlessness, colourlessness, achromatism, achromaticity
n04958865	mottle
n04959061	achromia
n04959230	shade, tint, tincture, tone
n04959672	chromatic color, chromatic colour, spectral color, spectral colour
n04960277	black, blackness, inkiness
n04960582	coal black, ebony, jet black, pitch black, sable, soot black
n04961062	alabaster
n04961331	bone, ivory, pearl, off-white
n04961691	gray, grayness, grey, greyness
n04962062	ash grey, ash gray, silver, silver grey, silver gray
n04962240	charcoal, charcoal grey, charcoal gray, oxford grey, oxford gray
n04963111	sanguine
n04963307	Turkey red, alizarine red
n04963588	crimson, ruby, deep red
n04963740	dark red
n04964001	claret
n04964799	fuschia
n04964878	maroon
n04965179	orange, orangeness
n04965451	reddish orange
n04965661	yellow, yellowness
n04966543	gamboge, lemon, lemon yellow, maize
n04966941	pale yellow, straw, wheat
n04967191	green, greenness, viridity
n04967561	greenishness
n04967674	sea green
n04967801	sage green
n04967882	bottle green
n04968056	emerald
n04968139	olive green, olive-green
n04968749	jade green, jade
n04968895	blue, blueness
n04969242	azure, cerulean, sapphire, lazuline, sky-blue
n04969540	steel blue
n04969798	greenish blue, aqua, aquamarine, turquoise, cobalt blue, peacock blue
n04969952	purplish blue, royal blue
n04970059	purple, purpleness
n04970312	Tyrian purple
n04970398	indigo
n04970470	lavender
n04970631	reddish purple, royal purple
n04970916	pink
n04971211	carnation
n04971313	rose, rosiness
n04972350	chestnut
n04972451	chocolate, coffee, deep brown, umber, burnt umber
n04972801	light brown
n04973020	tan, topaz
n04973291	beige, ecru
n04973386	reddish brown, sepia, burnt sienna, Venetian red, mahogany
n04973585	brick red
n04973669	copper, copper color
n04973816	Indian red
n04974145	puce
n04974340	olive
n04974859	ultramarine
n04975739	complementary color, complementary
n04976319	pigmentation
n04976952	complexion, skin color, skin colour
n04977412	ruddiness, rosiness
n04978561	nonsolid color, nonsolid colour, dithered color, dithered colour
n04979002	aposematic coloration, warning coloration
n04979307	cryptic coloration
n04981658	ring
n05102764	center of curvature, centre of curvature
n05218119	cadaver, corpse, stiff, clay, remains
n05233741	mandibular notch
n05235879	rib
n05238282	skin, tegument, cutis
n05239437	skin graft
n05241218	epidermal cell
n05241485	melanocyte
n05241662	prickle cell
n05242070	columnar cell, columnar epithelial cell
n05242239	spongioblast
n05242928	squamous cell
n05244421	amyloid plaque, amyloid protein plaque
n05244755	dental plaque, bacterial plaque
n05244934	macule, macula
n05245192	freckle, lentigo
n05257476	bouffant
n05257967	sausage curl
n05258051	forelock
n05258627	spit curl, kiss curl
n05259914	pigtail
n05260127	pageboy
n05260240	pompadour
n05261310	thatch
n05262422	soup-strainer, toothbrush
n05262534	mustachio, moustachio, handle-bars
n05262698	walrus mustache, walrus moustache
n05263183	stubble
n05263316	vandyke beard, vandyke
n05263448	soul patch, Attilio
n05265736	esophageal smear
n05266096	paraduodenal smear, duodenal smear
n05266879	specimen
n05278922	punctum
n05279953	glenoid fossa, glenoid cavity
n05282652	diastema
n05285623	marrow, bone marrow
n05302499	mouth, oral cavity, oral fissure, rima oris
n05314075	canthus
n05399034	milk
n05399243	mother's milk
n05399356	colostrum, foremilk
n05418717	vein, vena, venous blood vessel
n05427346	ganglion cell, gangliocyte
n05442594	X chromosome
n05447757	embryonic cell, formative cell
n05448704	myeloblast
n05448827	sideroblast
n05449196	osteocyte
n05449661	megalocyte, macrocyte
n05449959	leukocyte, leucocyte, white blood cell, white cell, white blood corpuscle, white corpuscle, WBC
n05450617	histiocyte
n05451099	fixed phagocyte
n05451384	lymphocyte, lymph cell
n05453412	monoblast
n05453657	neutrophil, neutrophile
n05453815	microphage
n05454833	sickle cell
n05454978	siderocyte
